grain_id,label_id,area
8115,2,774400.000
10403,3,387200.000
11781,3,242000.000
13652,3,96800.000
5006,2,2081200.000
3912,2,3097600.000
6638,2,1210000.000
7900,2,822800.000
6775,2,1161600.000
9363,2,532400.000
2648,2,5227200.000
7901,2,822800.000
13653,3,96800.000
11270,3,290400.000
2325,2,6098400.000
2720,2,5082000.000
6307,2,1355200.000
9664,2,484000.000
10404,3,387200.000
8576,2,677600.000
11271,3,290400.000
14554,3,48400.000
12972,3,145200.000
3842,2,3194400.000
1187,2,13068000.000
4391,2,2613600.000
8342,2,726000.000
1943,2,7598800.000
8841,2,629200.000
7081,2,1064800.000
12973,3,145200.000
9111,2,580800.000
9364,2,532400.000
5793,2,1597200.000
6422,2,1306800.000
11782,3,242000.000
717,2,22070400.000
5985,2,1500400.000
4446,2,2565200.000
6928,2,1113200.000
7082,2,1064800.000
7902,2,822800.000
9112,2,580800.000
11783,3,242000.000
14555,3,48400.000
12322,3,193600.000
2309,2,6146800.000
4758,2,2274800.000
7903,2,822800.000
6929,2,1113200.000
12323,3,193600.000
13654,3,96800.000
4392,2,2613600.000
11272,3,290400.000
10037,2,435600.000
1516,2,10115600.000
7083,2,1064800.000
5448,2,1790800.000
9365,2,532400.000
7712,2,871200.000
11273,3,290400.000
14556,3,48400.000
5305,2,1887600.000
3300,2,3968800.000
2402,2,5856400.000
4393,2,2613600.000
4334,2,2662000.000
7904,2,822800.000
6536,2,1258400.000
5684,2,1645600.000
5794,2,1597200.000
5519,2,1742400.000
6776,2,1161600.000
6537,2,1258400.000
9665,2,484000.000
9666,2,484000.000
12974,3,145200.000
12324,3,193600.000
773,2,20860400.000
223,2,63936400.000
1390,2,11035200.000
4173,2,2807200.000
2019,2,7260000.000
10843,3,338800.000
5218,2,1936000.000
4642,2,2371600.000
10405,3,387200.000
11274,3,290400.000
10844,3,338800.000
1679,2,9002400.000
1106,2,13987600.000
4540,2,2468400.000
3124,2,4259200.000
5520,2,1742400.000
2403,2,5856400.000
4127,2,2855600.000
10845,3,338800.000
13655,3,96800.000
5605,2,1694000.000
6639,2,1210000.000
14557,3,48400.000
11275,3,290400.000
9667,2,484000.000
1944,2,7598800.000
1304,2,11712800.000
4281,2,2710400.000
5685,2,1645600.000
5521,2,1742400.000
5606,2,1694000.000
8842,2,629200.000
7540,2,919600.000
14558,3,48400.000
1953,2,7550400.000
3804,2,3242800.000
3957,2,3049200.000
3583,2,3533200.000
4282,2,2710400.000
8577,2,677600.000
6640,2,1210000.000
1833,2,8131200.000
7208,2,1016400.000
10846,3,338800.000
13656,3,96800.000
11784,3,242000.000
13657,3,96800.000
4128,2,2855600.000
5522,2,1742400.000
8116,2,774400.000
5523,2,1742400.000
11785,3,242000.000
10847,3,338800.000
12975,3,145200.000
14559,3,48400.000
766,2,21054000.000
164,2,79327600.000
3025,2,4452800.000
3755,2,3291200.000
6209,2,1403600.000
6210,2,1403600.000
3148,2,4210800.000
13658,3,96800.000
5986,2,1500400.000
9366,2,532400.000
10848,3,338800.000
14560,3,48400.000
325,2,44576400.000
584,2,26862000.000
556,2,28217200.000
2863,2,4791600.000
624,2,24877600.000
11276,3,290400.000
7541,2,919600.000
13659,3,96800.000
14561,3,48400.000
1682,2,8954000.000
861,2,18537200.000
3657,2,3436400.000
10038,2,435600.000
9668,2,484000.000
14562,3,48400.000
13660,3,96800.000
11786,3,242000.000
6930,2,1113200.000
10039,2,435600.000
6538,2,1258400.000
10406,3,387200.000
13661,3,96800.000
9367,2,532400.000
11787,3,242000.000
2809,2,4888400.000
2074,2,7066400.000
5449,2,1790800.000
5219,2,1936000.000
7209,2,1016400.000
4447,2,2565200.000
10407,3,387200.000
12325,3,193600.000
9669,2,484000.000
9368,2,532400.000
14563,3,48400.000
7905,2,822800.000
1292,2,11858000.000
2096,2,6969600.000
2523,2,5566000.000
3623,2,3484800.000
8578,2,677600.000
7906,2,822800.000
12326,3,193600.000
11788,3,242000.000
7542,2,919600.000
10849,3,338800.000
13662,3,96800.000
2326,2,6098400.000
10850,3,338800.000
14564,3,48400.000
8579,2,677600.000
13663,3,96800.000
13664,3,96800.000
4174,2,2807200.000
5686,2,1645600.000
3516,2,3630000.000
4759,2,2274800.000
8580,2,677600.000
8581,2,677600.000
11277,3,290400.000
11278,3,290400.000
14565,3,48400.000
144,2,89830400.000
1711,2,8808800.000
2254,2,6340400.000
4943,2,2129600.000
9670,2,484000.000
5687,2,1645600.000
6931,2,1113200.000
5381,2,1839200.000
12327,3,193600.000
1355,2,11325600.000
3554,2,3581600.000
1839,2,8082800.000
4042,2,2952400.000
3349,2,3872000.000
8117,2,774400.000
2327,2,6098400.000
4175,2,2807200.000
5795,2,1597200.000
8343,2,726000.000
7351,2,968000.000
13665,3,96800.000
9369,2,532400.000
10408,3,387200.000
8344,2,726000.000
11279,3,290400.000
3624,2,3484800.000
1325,2,11567600.000
9671,2,484000.000
10409,3,387200.000
13666,3,96800.000
12328,3,193600.000
9672,2,484000.000
13667,3,96800.000
8843,2,629200.000
9113,2,580800.000
13668,3,96800.000
2764,2,4985200.000
4882,2,2178000.000
1624,2,9341200.000
8118,2,774400.000
7543,2,919600.000
10040,2,435600.000
5081,2,2032800.000
12976,3,145200.000
12977,3,145200.000
12978,3,145200.000
2649,2,5227200.000
877,2,18101600.000
415,2,36009600.000
3843,2,3194400.000
1945,2,7598800.000
2810,2,4888400.000
4283,2,2710400.000
2835,2,4840000.000
6211,2,1403600.000
9370,2,532400.000
9673,2,484000.000
5220,2,1936000.000
12979,3,145200.000
10410,3,387200.000
10851,3,338800.000
7713,2,871200.000
12329,3,193600.000
1877,2,7889200.000
908,2,17569200.000
4176,2,2807200.000
5157,2,1984400.000
11789,3,242000.000
6932,2,1113200.000
9371,2,532400.000
12330,3,193600.000
9114,2,580800.000
3486,2,3678400.000
6641,2,1210000.000
6423,2,1306800.000
7210,2,1016400.000
9115,2,580800.000
8844,2,629200.000
10852,3,338800.000
10411,3,387200.000
13669,3,96800.000
2020,2,7260000.000
3913,2,3097600.000
3350,2,3872000.000
5221,2,1936000.000
2247,2,6388800.000
6933,2,1113200.000
6212,2,1403600.000
8582,2,677600.000
8583,2,677600.000
13670,3,96800.000
13671,3,96800.000
13672,3,96800.000
10853,3,338800.000
12980,3,145200.000
10412,3,387200.000
6088,2,1452000.000
11280,3,290400.000
505,2,30395200.000
955,2,16359200.000
3263,2,4017200.000
1851,2,8034400.000
5007,2,2081200.000
4335,2,2662000.000
2650,2,5227200.000
3517,2,3630000.000
5450,2,1790800.000
4394,2,2613600.000
8584,2,677600.000
7907,2,822800.000
6089,2,1452000.000
7084,2,1064800.000
2489,2,5662800.000
3756,2,3291200.000
6934,2,1113200.000
10413,3,387200.000
4395,2,2613600.000
13673,3,96800.000
966,2,16165600.000
3047,2,4404400.000
5158,2,1984400.000
4883,2,2178000.000
12331,3,193600.000
6539,2,1258400.000
8585,2,677600.000
14566,3,48400.000
4541,2,2468400.000
14567,3,48400.000
2067,2,7114800.000
2081,2,7018000.000
3105,2,4307600.000
7544,2,919600.000
6777,2,1161600.000
14568,3,48400.000
11790,3,242000.000
9372,2,532400.000
9674,2,484000.000
11281,3,290400.000
1312,2,11664400.000
1261,2,12245200.000
2563,2,5469200.000
7085,2,1064800.000
2990,2,4501200.000
7714,2,871200.000
11791,3,242000.000
11792,3,242000.000
10414,3,387200.000
14569,3,48400.000
13674,3,96800.000
14570,3,48400.000
11793,3,242000.000
627,2,24829200.000
3696,2,3388000.000
6642,2,1210000.000
10415,3,387200.000
5222,2,1936000.000
5607,2,1694000.000
10041,2,435600.000
10854,3,338800.000
12981,3,145200.000
13675,3,96800.000
9675,2,484000.000
967,2,16165600.000
9116,2,580800.000
8845,2,629200.000
10855,3,338800.000
13676,3,96800.000
11794,3,242000.000
946,2,16552800.000
106,2,111368400.000
1141,2,13600400.000
5882,2,1548800.000
1852,2,8034400.000
3625,2,3484800.000
6540,2,1258400.000
9676,2,484000.000
13677,3,96800.000
6308,2,1355200.000
8586,2,677600.000
4707,2,2323200.000
13678,3,96800.000
1986,2,7405200.000
14571,3,48400.000
11795,3,242000.000
11282,3,290400.000
398,2,36735600.000
1363,2,11277200.000
6309,2,1355200.000
6090,2,1452000.000
8119,2,774400.000
10416,3,387200.000
5796,2,1597200.000
7545,2,919600.000
7908,2,822800.000
7715,2,871200.000
4643,2,2371600.000
7352,2,968000.000
8846,2,629200.000
14572,3,48400.000
14573,3,48400.000
767,2,21054000.000
1237,2,12487200.000
1372,2,11228800.000
5159,2,1984400.000
1100,2,14036000.000
4284,2,2710400.000
9677,2,484000.000
10417,3,387200.000
7909,2,822800.000
6310,2,1355200.000
11796,3,242000.000
12332,3,193600.000
108,2,109722800.000
2991,2,4501200.000
3518,2,3630000.000
3322,2,3920400.000
5223,2,1936000.000
8345,2,726000.000
4336,2,2662000.000
11283,3,290400.000
10856,3,338800.000
12982,3,145200.000
7353,2,968000.000
6213,2,1403600.000
12333,3,193600.000
9373,2,532400.000
12983,3,145200.000
14574,3,48400.000
844,2,18924400.000
11797,3,242000.000
12984,3,145200.000
5382,2,1839200.000
13679,3,96800.000
9678,2,484000.000
12334,3,193600.000
13680,3,96800.000
731,2,21780000.000
758,2,21199200.000
2935,2,4598000.000
9374,2,532400.000
1506,2,10164000.000
6214,2,1403600.000
11284,3,290400.000
10857,3,338800.000
12985,3,145200.000
13681,3,96800.000
9117,2,580800.000
1211,2,12729200.000
14575,3,48400.000
256,2,55272800.000
4177,1,2807200.000
5306,2,1887600.000
5224,2,1936000.000
2811,2,4888400.000
62,2,166157200.000
6311,2,1355200.000
6312,2,1355200.000
11285,3,290400.000
7086,2,1064800.000
11798,3,242000.000
7211,2,1016400.000
14576,3,48400.000
14577,3,48400.000
8587,2,677600.000
14578,3,48400.000
8588,2,677600.000
14579,3,48400.000
2765,2,4985200.000
5008,2,2081200.000
2366,2,5953200.000
9679,2,484000.000
337,2,42253200.000
4944,2,2129600.000
5524,2,1742400.000
2936,2,4598000.000
1743,2,8615200.000
5082,2,2032800.000
11286,3,290400.000
9680,2,484000.000
5225,2,1936000.000
7354,2,968000.000
11799,3,242000.000
7087,2,1064800.000
12986,3,145200.000
14580,3,48400.000
11800,3,242000.000
8847,2,629200.000
12987,3,145200.000
544,2,28652800.000
3844,2,3194400.000
7088,2,1064800.000
10858,3,338800.000
6424,2,1306800.000
11801,3,242000.000
11287,3,290400.000
14581,3,48400.000
333,2,42930800.000
1293,2,11858000.000
4003,2,3000800.000
9681,2,484000.000
4043,2,2952400.000
8848,2,629200.000
10418,3,387200.000
10042,2,435600.000
12988,3,145200.000
926,2,16940000.000
13682,3,96800.000
2564,2,5469200.000
1862,2,7986000.000
11288,3,290400.000
13683,3,96800.000
12335,3,193600.000
12989,3,145200.000
2786,2,4936800.000
1726,2,8712000.000
1590,2,9583200.000
5083,2,2032800.000
3378,2,3823600.000
2296,2,6195200.000
9375,2,532400.000
4178,2,2807200.000
7355,2,968000.000
4179,2,2807200.000
10043,2,435600.000
5525,2,1742400.000
7716,2,871200.000
7717,2,871200.000
14582,3,48400.000
5797,2,1597200.000
6313,2,1355200.000
9376,2,532400.000
12990,3,145200.000
7356,2,968000.000
9682,2,484000.000
7546,2,919600.000
10044,2,435600.000
12336,3,193600.000
11802,3,242000.000
14583,3,48400.000
17,1,525817600.000
734,2,21731600.000
1336,2,11470800.000
1203,2,12922800.000
2965,2,4549600.000
9377,2,532400.000
6425,2,1306800.000
3845,2,3194400.000
9683,2,484000.000
5798,2,1597200.000
7357,2,968000.000
14584,3,48400.000
5084,2,2032800.000
11289,3,290400.000
14585,3,48400.000
14586,3,48400.000
904,2,17617600.000
649,2,24103200.000
7212,2,1016400.000
3584,1,3533200.000
8589,2,677600.000
11803,3,242000.000
7213,2,1016400.000
12991,3,145200.000
4708,2,2323200.000
12337,3,193600.000
14587,3,48400.000
12992,3,145200.000
12338,3,193600.000
11804,3,242000.000
1704,2,8857200.000
6935,2,1113200.000
6091,2,1452000.000
8120,2,774400.000
10419,3,387200.000
9684,2,484000.000
6092,2,1452000.000
11290,3,290400.000
3757,1,3291200.000
7910,2,822800.000
10420,3,387200.000
9118,2,580800.000
661,2,23716000.000
4818,2,2226400.000
1625,2,9341200.000
6314,2,1355200.000
6093,2,1452000.000
5987,2,1500400.000
6426,2,1306800.000
3194,2,4114000.000
5608,2,1694000.000
14588,3,48400.000
7718,2,871200.000
13684,3,96800.000
11805,3,242000.000
10045,2,435600.000
12993,3,145200.000
12994,3,145200.000
2992,2,4501200.000
3167,1,4162400.000
7719,2,871200.000
6541,2,1258400.000
5085,2,2032800.000
6215,2,1403600.000
13685,3,96800.000
11291,3,290400.000
8849,2,629200.000
13686,3,96800.000
7358,2,968000.000
14589,3,48400.000
31,2,251438000.000
2227,2,6485600.000
7720,2,871200.000
3487,2,3678400.000
9378,2,532400.000
12339,3,193600.000
14590,3,48400.000
1816,2,8228000.000
1598,2,9534800.000
841,2,18972800.000
4644,2,2371600.000
6542,2,1258400.000
5086,2,2032800.000
11806,3,242000.000
220,2,64759200.000
4396,1,2613600.000
377,2,38478000.000
5883,2,1548800.000
11292,3,290400.000
6216,2,1403600.000
7721,2,871200.000
11293,3,290400.000
6315,2,1355200.000
9685,2,484000.000
1376,2,11180400.000
8121,2,774400.000
4709,2,2323200.000
9379,2,532400.000
12340,3,193600.000
11294,3,290400.000
10859,3,338800.000
14591,3,48400.000
14592,3,48400.000
14593,3,48400.000
53,2,179031600.000
3048,2,4404400.000
13687,3,96800.000
2152,2,6776000.000
13688,3,96800.000
13689,3,96800.000
7911,2,822800.000
14594,3,48400.000
9686,2,484000.000
13690,3,96800.000
6543,2,1258400.000
2248,2,6388800.000
9119,2,580800.000
8590,2,677600.000
10046,2,435600.000
10421,3,387200.000
7359,2,968000.000
8591,2,677600.000
8850,2,629200.000
10860,3,338800.000
11807,3,242000.000
14595,3,48400.000
14596,3,48400.000
14597,3,48400.000
3626,2,3484800.000
2310,2,6146800.000
7722,2,871200.000
5383,2,1839200.000
2463,2,5711200.000
6936,2,1113200.000
5688,2,1645600.000
2604,2,5372400.000
379,2,38236000.000
2207,2,6534000.000
3805,2,3242800.000
4337,2,2662000.000
8122,2,774400.000
5087,2,2032800.000
9120,2,580800.000
9687,2,484000.000
13691,3,96800.000
1463,2,10454400.000
1048,2,14762000.000
3233,2,4065600.000
7360,2,968000.000
11295,3,290400.000
8851,2,629200.000
10047,2,435600.000
12341,3,193600.000
5526,2,1742400.000
5988,2,1500400.000
3806,2,3242800.000
4945,2,2129600.000
10422,3,387200.000
5384,2,1839200.000
11808,3,242000.000
8852,2,629200.000
10861,3,338800.000
14598,3,48400.000
4285,2,2710400.000
2673,2,5178800.000
1799,2,8324800.000
4645,2,2371600.000
5451,2,1790800.000
7089,2,1064800.000
8853,2,629200.000
3585,2,3533200.000
7361,2,968000.000
8592,2,677600.000
10862,3,338800.000
13692,3,96800.000
396,2,36784000.000
819,2,19505200.000
4594,2,2420000.000
821,2,19456800.000
2766,2,4985200.000
5527,2,1742400.000
8123,2,774400.000
4646,2,2371600.000
8854,2,629200.000
7362,2,968000.000
12342,3,193600.000
5452,2,1790800.000
6643,2,1210000.000
419,2,35816000.000
2404,2,5856400.000
1779,2,8421600.000
3301,2,3968800.000
5689,2,1645600.000
3758,2,3291200.000
6778,2,1161600.000
8855,2,629200.000
8856,2,629200.000
8346,2,726000.000
8857,2,629200.000
8593,2,677600.000
8858,2,629200.000
10048,2,435600.000
13693,3,96800.000
11296,3,290400.000
14599,3,48400.000
5088,2,2032800.000
3519,2,3630000.000
3807,2,3242800.000
12995,3,145200.000
10423,3,387200.000
14600,3,48400.000
9380,2,532400.000
1646,2,9196000.000
4448,2,2565200.000
2721,2,5082000.000
2383,2,5904800.000
4595,2,2420000.000
4542,2,2468400.000
6217,2,1403600.000
7547,2,919600.000
9381,2,532400.000
5884,2,1548800.000
14601,3,48400.000
3958,2,3049200.000
5885,2,1548800.000
13694,3,96800.000
14602,3,48400.000
11297,3,290400.000
11298,3,290400.000
13695,3,96800.000
12343,3,193600.000
2339,2,6050000.000
2632,2,5275600.000
5009,2,2081200.000
5886,2,1548800.000
2255,2,6340400.000
7548,2,919600.000
3168,2,4162400.000
11299,3,290400.000
5528,2,1742400.000
6544,2,1258400.000
7363,2,968000.000
6937,2,1113200.000
8347,2,726000.000
12344,3,193600.000
14603,3,48400.000
520,2,29911200.000
5160,2,1984400.000
1720,2,8760400.000
1517,2,10115600.000
4647,2,2371600.000
9121,2,580800.000
7214,2,1016400.000
11300,3,290400.000
8348,2,726000.000
2767,2,4985200.000
6427,2,1306800.000
7215,2,1016400.000
11301,3,290400.000
12996,3,145200.000
1317,2,11616000.000
6779,2,1161600.000
12997,3,145200.000
8594,2,677600.000
1834,2,8131200.000
12345,3,193600.000
12998,3,145200.000
12999,3,145200.000
3264,2,4017200.000
1545,2,9873600.000
4710,2,2323200.000
6316,2,1355200.000
1974,2,7453600.000
7723,2,871200.000
7364,2,968000.000
6218,2,1403600.000
11809,3,242000.000
12346,3,193600.000
8349,2,726000.000
13000,3,145200.000
1946,2,7598800.000
4180,2,2807200.000
3914,2,3097600.000
7549,2,919600.000
3195,2,4114000.000
7912,2,822800.000
10424,3,387200.000
865,2,18392000.000
13001,3,145200.000
13002,3,145200.000
10425,3,387200.000
9688,2,484000.000
9382,2,532400.000
13003,3,145200.000
13696,3,96800.000
13004,3,145200.000
11810,3,242000.000
13697,3,96800.000
304,1,47867600.000
5385,2,1839200.000
6317,2,1355200.000
5887,2,1548800.000
5307,2,1887600.000
9122,2,580800.000
13698,3,96800.000
9383,2,532400.000
6938,2,1113200.000
11811,3,242000.000
10426,3,387200.000
13005,3,145200.000
5453,2,1790800.000
2418,2,5808000.000
2919,2,4646400.000
5609,2,1694000.000
1933,2,7647200.000
6780,2,1161600.000
4129,2,2855600.000
7550,2,919600.000
13006,3,145200.000
10049,2,435600.000
10427,3,387200.000
9384,2,532400.000
13699,3,96800.000
14604,3,48400.000
14605,3,48400.000
2021,2,7260000.000
3846,2,3194400.000
13700,3,96800.000
2699,2,5130400.000
44,2,209233200.000
7724,2,871200.000
6545,2,1258400.000
8595,2,677600.000
9689,2,484000.000
10863,3,338800.000
11812,3,242000.000
3959,2,3049200.000
4495,2,2516800.000
820,2,19505200.000
3808,2,3242800.000
7365,2,968000.000
5161,2,1984400.000
3106,2,4307600.000
8350,2,726000.000
4181,2,2807200.000
3234,2,4065600.000
8351,2,726000.000
10864,3,338800.000
8352,2,726000.000
12347,3,193600.000
10428,3,387200.000
12348,3,193600.000
14606,3,48400.000
909,2,17520800.000
1920,2,7695600.000
5386,2,1839200.000
7913,2,822800.000
7914,2,822800.000
6318,2,1355200.000
13701,3,96800.000
5888,2,1548800.000
9123,2,580800.000
11302,3,290400.000
13007,3,145200.000
10429,3,387200.000
14607,3,48400.000
13702,3,96800.000
9385,2,532400.000
5529,2,1742400.000
1001,2,15439600.000
3488,2,3678400.000
7090,2,1064800.000
6319,2,1355200.000
11303,3,290400.000
8596,2,677600.000
9690,2,484000.000
13703,3,96800.000
3026,2,4452800.000
13704,3,96800.000
13008,3,145200.000
1331,1,11519200.000
1282,2,12051600.000
482,2,31460000.000
1721,2,8760400.000
1561,2,9776800.000
1672,2,9050800.000
4286,2,2710400.000
2993,2,4501200.000
1231,2,12584000.000
8353,2,726000.000
13009,3,145200.000
9386,2,532400.000
9691,2,484000.000
3658,2,3436400.000
11304,3,290400.000
7915,2,822800.000
14608,3,48400.000
13010,3,145200.000
14609,3,48400.000
12349,3,193600.000
7366,2,968000.000
6094,2,1452000.000
7091,2,1064800.000
14610,3,48400.000
6219,2,1403600.000
14611,3,48400.000
1835,2,8131200.000
2812,2,4888400.000
303,2,47916000.000
3027,2,4452800.000
2882,2,4743200.000
6428,2,1306800.000
947,2,16552800.000
8859,2,629200.000
6095,2,1452000.000
3323,2,3920400.000
10430,3,387200.000
6096,2,1452000.000
10865,3,338800.000
1647,2,9196000.000
13011,3,145200.000
14612,3,48400.000
6097,2,1452000.000
8597,2,677600.000
13012,3,145200.000
13705,3,96800.000
1073,2,14374800.000
5889,2,1548800.000
2046,2,7163200.000
4130,2,2855600.000
7367,2,968000.000
13013,3,145200.000
14613,3,48400.000
8354,2,726000.000
14614,3,48400.000
13706,3,96800.000
5989,2,1500400.000
1110,2,13939200.000
6320,2,1355200.000
695,2,22651200.000
4884,2,2178000.000
8355,2,726000.000
10050,2,435600.000
13014,3,145200.000
13015,3,145200.000
9692,2,484000.000
13016,3,145200.000
11305,3,290400.000
10431,3,387200.000
12350,3,193600.000
12351,3,193600.000
1195,2,12971200.000
1996,2,7356800.000
7551,2,919600.000
8124,2,774400.000
3081,2,4356000.000
8598,2,677600.000
6644,2,1210000.000
9693,2,484000.000
10051,2,435600.000
7368,2,968000.000
6546,2,1258400.000
10866,3,338800.000
3915,2,3097600.000
13707,3,96800.000
13017,3,145200.000
1405,2,10890000.000
1626,2,9341200.000
2651,2,5227200.000
5690,2,1645600.000
6429,2,1306800.000
5089,2,2032800.000
8860,2,629200.000
7216,2,1016400.000
6939,2,1113200.000
13708,3,96800.000
8861,2,629200.000
8862,2,629200.000
11813,3,242000.000
2652,2,5227200.000
11306,3,290400.000
10432,3,387200.000
11814,3,242000.000
13709,3,96800.000
13018,3,145200.000
14615,3,48400.000
2864,2,4791600.000
6430,2,1306800.000
3697,2,3388000.000
5799,2,1597200.000
1326,2,11567600.000
10433,3,387200.000
7552,2,919600.000
6781,2,1161600.000
3414,1,3775200.000
4711,2,2323200.000
5162,2,1984400.000
1337,2,11470800.000
4004,2,3000800.000
9387,2,532400.000
8125,2,774400.000
12352,3,193600.000
7369,2,968000.000
11815,3,242000.000
13710,3,96800.000
13019,3,145200.000
14616,3,48400.000
3960,2,3049200.000
11816,3,242000.000
10867,3,338800.000
14617,3,48400.000
10052,2,435600.000
12353,3,193600.000
13711,3,96800.000
10053,2,435600.000
14618,3,48400.000
2135,2,6824400.000
21,2,447942000.000
9694,2,484000.000
10434,3,387200.000
13712,3,96800.000
9695,2,484000.000
7553,2,919600.000
9124,2,580800.000
14619,3,48400.000
14620,3,48400.000
13713,3,96800.000
11307,3,290400.000
7916,2,822800.000
14621,3,48400.000
4005,2,3000800.000
3759,2,3291200.000
5387,2,1839200.000
5990,2,1500400.000
6645,2,1210000.000
6646,2,1210000.000
3698,2,3388000.000
7554,2,919600.000
14622,3,48400.000
5991,2,1500400.000
13020,3,145200.000
14623,3,48400.000
776,2,20763600.000
458,2,32960400.000
1247,2,12390400.000
2700,2,5130400.000
2297,2,6195200.000
10435,3,387200.000
2920,2,4646400.000
5226,2,1936000.000
11308,3,290400.000
11817,3,242000.000
12354,3,193600.000
12355,3,193600.000
12356,3,193600.000
4449,2,2565200.000
7555,2,919600.000
12357,3,193600.000
14624,3,48400.000
6782,2,1161600.000
8599,2,677600.000
9388,2,532400.000
12358,3,193600.000
7917,2,822800.000
14625,3,48400.000
14626,3,48400.000
11309,3,290400.000
5454,2,1790800.000
6783,2,1161600.000
10868,3,338800.000
7370,2,968000.000
10054,2,435600.000
9389,2,532400.000
12359,3,193600.000
11818,3,242000.000
3699,2,3388000.000
4648,2,2371600.000
7918,2,822800.000
8356,2,726000.000
9125,2,580800.000
6321,2,1355200.000
13714,3,96800.000
13715,3,96800.000
11819,3,242000.000
2768,2,4985200.000
13021,3,145200.000
349,2,40510800.000
112,2,107738400.000
1750,2,8566800.000
2419,2,5808000.000
3700,2,3388000.000
13716,3,96800.000
13717,3,96800.000
11310,3,290400.000
13022,3,145200.000
3265,2,4017200.000
11311,3,290400.000
12360,3,193600.000
12361,3,193600.000
4397,2,2613600.000
3028,2,4452800.000
6322,2,1355200.000
602,2,25990800.000
4006,2,3000800.000
3880,2,3146000.000
11312,3,290400.000
8600,2,677600.000
4946,2,2129600.000
13023,3,145200.000
4007,2,3000800.000
5308,2,1887600.000
6647,2,1210000.000
6323,2,1355200.000
11820,3,242000.000
6431,2,1306800.000
10869,3,338800.000
1042,2,14858800.000
5890,2,1548800.000
3586,2,3533200.000
5992,2,1500400.000
6098,2,1452000.000
2311,2,6146800.000
3961,2,3049200.000
9126,2,580800.000
5227,2,1936000.000
13718,3,96800.000
10870,3,338800.000
10055,2,435600.000
10056,2,435600.000
284,2,50142400.000
1934,2,7647200.000
1453,2,10502800.000
8126,2,774400.000
7919,2,822800.000
5388,2,1839200.000
11313,3,290400.000
12362,3,193600.000
12363,3,193600.000
11821,3,242000.000
10057,2,435600.000
2883,2,4743200.000
6547,2,1258400.000
2836,2,4840000.000
2565,2,5469200.000
6324,2,1355200.000
5691,2,1645600.000
3351,2,3872000.000
7371,2,968000.000
7920,2,822800.000
4885,2,2178000.000
11822,3,242000.000
3659,2,3436400.000
12364,3,193600.000
3627,2,3484800.000
5455,2,1790800.000
9696,2,484000.000
14627,3,48400.000
1464,2,10454400.000
1147,2,13552000.000
2722,2,5082000.000
2701,2,5130400.000
2966,2,4549600.000
5530,2,1742400.000
6548,2,1258400.000
3760,2,3291200.000
9697,2,484000.000
6648,2,1210000.000
7372,2,968000.000
3196,2,4114000.000
13024,3,145200.000
11823,3,242000.000
2674,2,5178800.000
7921,2,822800.000
13719,3,96800.000
6940,2,1113200.000
14628,3,48400.000
4131,2,2855600.000
2121,2,6872800.000
3266,2,4017200.000
2405,2,5856400.000
1218,2,12680800.000
1921,2,7695600.000
10871,3,338800.000
9390,2,532400.000
13025,3,145200.000
2228,2,6485600.000
11824,3,242000.000
5531,2,1742400.000
5692,2,1645600.000
8601,2,677600.000
5389,2,1839200.000
8357,2,726000.000
9127,2,580800.000
